"Timestamp","Age","Country","self_employed","family_history","treatment","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_interview","GroupedGender"
2014-08-29 09:10:00,8,"Bahamas, The","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","Yes","Other"
2014-08-29 17:26:00,11,"United States","Yes","No","No","Yes","Yes","Other","Yes","No","Other","Yes","Very easy","No","Male"
2014-08-27 11:43:00,18,"Netherlands","No","No","No","No","Yes","Other","Not sure","No","Other","Not sure","Somewhat difficult","No","Male"
2014-08-27 12:15:00,18,"Russia","No","No","No","Yes","Yes","Yes","Yes","No","Other","Yes","Somewhat easy","Yes","Other"
2014-08-27 12:31:00,18,"United States","No","No","Yes","Yes","Yes","Other","No","No","Other","Yes","Very easy","No","Male"
2014-08-27 14:10:00,18,"United States","No","No","Yes","No","Yes","Not sure","No","No","Not sure","Not sure","Don't know","No","Male"
2014-08-27 14:11:00,18,"United States","No","No","No","No","Yes","Not sure","Not sure","Don't know","Not sure","Not sure","Very easy","No","Male"
2014-08-27 16:16:00,18,"Finland","No","No","No","Yes","No","Not sure","No","No","Not sure","Not sure","Very easy","No","Male"
2014-08-27 16:19:00,18,"United Kingdom","No","Yes","Yes","Yes","Yes","Not sure","Not sure","Don't know","Not sure","Not sure","Don't know","Maybe","Female"
2014-08-27 11:57:00,19,"United Kingdom","No","No","No","No","Yes","Other","Yes","No","Other","Other","Somewhat difficult","No","Male"
2014-08-27 12:34:00,19,"Slovenia","No","No","Yes","No","Yes","Not sure","No","No","Other","Not sure","Somewhat easy","No","Male"
2014-08-27 12:40:00,19,"Canada","Yes","Yes","No","Yes","Yes","Not sure","Not sure","No","Yes","Yes","Somewhat easy","Maybe","Male"
2014-08-27 22:07:00,19,"Canada","No","Yes","Yes","No","Yes","Other","No","No","Other","Not sure","Don't know","No","Male"
2014-08-28 09:02:00,19,"United States","No","Yes","Yes","No","No","Not sure","Not sure","No","Other","Not sure","Somewhat difficult","No","Other"
2014-08-28 11:15:00,19,"Canada","No","No","Yes","No","Yes","Not sure","Not sure","No","Other","Not sure","Somewhat difficult","No","Male"
2014-08-29 09:13:00,19,"United Kingdom","No","No","No","No","Yes","Yes","No","No","Yes","Not sure","Very easy","No","Male"
2014-08-29 10:05:00,19,"Canada","No","No","No","Yes","Yes","Not sure","No","No","Other","Not sure","Somewhat easy","No","Male"
2014-08-29 10:30:00,19,"United States","No","No","No","No","Yes","Not sure","Not sure","No","Other","Not sure","Don't know","Maybe","Male"
2014-08-27 15:40:00,20,"Australia","No","No","No","Yes","Yes","Not sure","Not sure","Don't know","Not sure","Yes","Very easy","No","Male"
2014-08-28 05:05:00,20,"Switzerland","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","Female"
2014-08-28 15:32:00,20,"United States","No","No","No","No","Yes","Not sure","Not sure","Don't know","Not sure","Not sure","Don't know","Maybe","Male"
2014-08-29 09:15:00,20,"India","No","No","Yes","No","Yes","Not sure","No","No","Other","Not sure","Don't know","No","Male"
2014-08-30 20:46:00,20,"United States","No","No","Yes","Yes","Yes","Not sure","Not sure","Don't know","Not sure","Not sure","Don't know","Maybe","Female"
2014-09-14 09:04:00,20,"Georgia","No","No","No","No","No","Other","No","No","Other","Not sure","Very difficult","No","Male"
2014-08-27 12:31:00,21,"United Kingdom","Yes","No","No","Yes","No","Other","Yes","No","Other","Yes","Very difficult","No","Male"
2014-08-27 13:03:00,21,"Canada","No","No","Yes","Yes","Yes","Other","Yes","No","Other","Not sure","Somewhat difficult","Maybe","Male"
2014-08-27 13:35:00,21,"United States","No","No","Yes","No","No","Not sure","No","No","Not sure","Not sure","Don't know","No","Male"
2014-08-27 15:14:00,21,"United States","No","Yes","Yes","No","Yes","Yes","No","No","Not sure","Yes","Don't know","Maybe","Male"
2014-08-27 15:15:00,21,"United Kingdom","No","No","Yes","No","No","Not sure","Not sure","No","Other","Other","Very easy","No","Male"
2014-08-27 15:22:00,21,"United States","No","Yes","Yes","No","Yes","Not sure","Not sure","Don't know","Other","Not sure","Somewhat easy","No","Female"
2014-08-27 15:29:00,21,"United States","No","Yes","No","No","Yes","Not sure","Not sure","Don't know","Not sure","Not sure","Don't know","No","Male"
2014-08-27 15:34:00,21,"United States","No","No","No","No","No","Not sure","Not sure","No","Yes","Yes","Don't know","Maybe","Male"
2014-08-27 17:47:00,21,"Canada","No","No","No","No","Yes","Not sure","Not sure","Don't know","Other","Not sure","Don't know","No","Male"
2014-08-27 18:22:00,21,"United States","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Don't know","No","Male"
2014-08-27 18:56:00,21,"United Kingdom","No","No","Yes","No","Yes","Other","Yes","Yes","Other","Yes","Somewhat easy","No","Other"
2014-08-28 09:16:00,21,"United Kingdom","No","No","No","No","Yes","Other","No","No","Other","Not sure","Don't know","No","Female"
2014-08-28 10:20:00,21,"Germany","No","No","No","Yes","Yes","Not sure","No","No","Other","Not sure","Very easy","No","Male"
2014-08-28 11:34:00,21,"United States","No","No","Yes","No","No","Other","Yes","No","Other","Other","Don't know","No","Male"
2014-08-28 16:58:00,21,"United Kingdom","No","Yes","No","No","No","Other","No","No","Other","Yes","Somewhat easy","No","Male"
2014-09-01 08:23:00,21,"United Kingdom","No","No","Yes","No","No","Not sure","No","No","Not sure","Not sure","Don't know","No","Male"
2014-08-27 11:44:00,22,"United States","No","Yes","Yes","No","Yes","Other","Yes","No","Other","Yes","Very difficult","No","Male"
2014-08-27 12:37:00,22,"Austria","No","No","No","Yes","Yes","Not sure","No","Don't know","Other","Not sure","Somewhat easy","No","Male"
2014-08-27 12:49:00,22,"India","No","No","Yes","No","Yes","Not sure","Not sure","No","Other","Not sure","Very difficult","Maybe","Male"
2014-08-27 13:31:00,22,"Sweden","No","No","No","No","Yes","Not sure","No","No","Other","Not sure","Don't know","Maybe","Male"
2014-08-27 14:03:00,22,"Australia","Yes","Yes","Yes","Yes","Yes","Not sure","Not sure","Yes","Yes","Not sure","Somewhat easy","No","Male"
2014-08-27 14:27:00,22,"United States","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","Female"
2014-08-27 14:47:00,22,"United States","No","No","No","No","Yes","Not sure","No","Don't know","Not sure","Not sure","Don't know","No","Male"
2014-08-27 15:15:00,22,"United States","No","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Somewhat easy","No","Female"
2014-08-27 15:28:00,22,"Brazil","Yes","No","No","Yes","Yes","Not sure","No","No","Other","Not sure","Somewhat easy","Maybe","Male"
2014-08-27 16:42:00,22,"United States","No","No","No","No","Yes","Yes","Not sure","Yes","Not sure","Yes","Don't know","No","Male"
2014-08-27 17:56:00,22,"United States","No","Yes","Yes","No","Yes","Yes","Yes","No","Not sure","Not sure","Don't know","No","Female"
2014-08-27 19:13:00,22,"Netherlands","No","Yes","Yes","Yes","Yes","Other","Not sure","No","Not sure","Not sure","Somewhat easy","Maybe","Male"
2014-08-28 01:04:00,22,"United Kingdom","No","Yes","Yes","No","Yes","Yes","Yes","No","Other","Yes","Very easy","Maybe","Male"
2014-08-28 01:19:00,22,"Netherlands","Yes","No","No","No","Yes","Not sure","Not sure","No","Other","Not sure","Don't know","Maybe","Male"
2014-08-28 04:02:00,22,"Netherlands","No","No","No","No","Yes","Other","No","No","Other","Not sure","Don't know","No","Female"
2014-08-28 06:11:00,22,"India","Yes","No","No","Yes","Yes","Not sure","No","Don't know","Not sure","Not sure","Very easy","Maybe","Male"
2014-08-28 08:23:00,22,"India","No","No","No","No","Yes","Other","No","No","Other","Not sure","Don't know","Maybe","Male"
2014-08-28 13:11:00,22,"United States","No","Yes","Yes","No","Yes","Not sure","Not sure","Don't know","Not sure","Not sure","Very difficult","No","Female"
2014-08-28 19:28:00,22,"United States","No","Yes","Yes","No","Yes","Not sure","Not sure","No","Not sure","Not sure","Don't know","No","Female"
2014-08-27 11:51:00,23,"Australia","No","Yes","Yes","Yes","Yes","Other","Not sure","No","Other","Not sure","Very easy","No","Female"
2014-08-27 11:54:00,23,"United States","No","No","No","No","Yes","Yes","Yes","No","Other","Yes","Somewhat difficult","No","Other"
2014-08-27 12:02:00,23,"United Kingdom","No","No","No","No","Yes","Yes","Not sure","Yes","Not sure","Not sure","Very easy","Maybe","Male"
2014-08-27 12:39:00,23,"United States","No","No","No","No","No","Other","No","No","Other","Other","Somewhat easy","No","Male"
2014-08-27 12:48:00,23,"Ireland","Yes","Yes","No","No","Yes","Other","No","No","Other","Not sure","Very difficult","No","Male"
2014-08-27 12:49:00,23,"United States","No","No","No","No","Yes","Not sure","No","No","Not sure","Not sure","Don't know","No","Female"
2014-08-27 12:53:00,23,"United Kingdom","No","Yes","No","Yes","Yes","Not sure","No","No","Other","Not sure","Don't know","Maybe","Male"
2014-08-27 13:15:00,23,"United States","No","No","No","No","Yes","Not sure","Not sure","Don't know","Not sure","Not sure","Don't know","No","Male"
2014-08-27 13:39:00,23,"United States","No","Yes","Yes","Yes","No","Not sure","No","No","Not sure","Yes","Somewhat easy","No","Male"
2014-08-27 13:47:00,23,"United Kingdom","No","No","Yes","No","Yes","Not sure","Not sure","Don't know","Not sure","Not sure","Don't know","No","Female"
2014-08-27 13:56:00,23,"United States","No","Yes","Yes","No","No","Yes","No","Don't know","Not sure","Yes","Don't know","Maybe","Female"
2014-08-27 14:03:00,23,"United States","No","Yes","No","No","Yes","Not sure","No","No","Not sure","Not sure","Don't know","No","Male"
2014-08-27 14:19:00,23,"United States","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Not sure","Don't know","No","Female"
2014-08-27 14:45:00,23,"United States","No","Yes","Yes","No","No","Not sure","No","No","Other","Not sure","Don't know","Maybe","Male"
2014-08-27 15:26:00,23,"United States","No","No","No","No","Yes","Not sure","No","No","Not sure","Not sure","Don't know","No","Male"
2014-08-27 15:31:00,23,"India","No","No","No","No","Yes","Other","No","No","Other","Not sure","Don't know","Maybe","Male"
2014-08-27 15:35:00,23,"United States","No","No","No","No","No","Yes","No","No","Other","Not sure","Don't know","No","Male"
2014-08-27 15:43:00,23,"United States","No","No","Yes","No","Yes","Yes","Yes","No","Not sure","Not sure","Don't know","No","Female"
2014-08-27 15:46:00,23,"Canada","No","Yes","Yes","No","Yes","Yes","Yes","No","Other","Yes","Very easy","No","Male"
2014-08-27 16:16:00,23,"Germany","Yes","Yes","Yes","Yes","Yes","Not sure","No","Don't know","Not sure","Not sure","Don't know","Maybe","Male"
2014-08-27 16:17:00,23,"United States","No","No","No","No","No","Not sure","Not sure","Don't know","Not sure","Not sure","Don't know","Maybe","Male"
2014-08-27 16:27:00,23,"United States","No","Yes","Yes","No","Yes","Yes","Not sure","Don't know","Other","Not sure","Don't know","No","Female"
2014-08-27 17:14:00,23,"United States","No","No","No","No","No","Not sure","Not sure","Don't know","Not sure","Yes","Don't know","No","Female"
2014-08-27 17:46:00,23,"Sweden","No","No","No","No","Yes","Not sure","No","No","Not sure","Not sure","Very easy","Maybe","Male"
2014-08-27 18:14:00,2,"UK","No","No","No","No","Yes","Not sure","Not sure","No","Other","Not sure","Very easy","No","Other"
2014-08-27 20:13:00,23,"United States","No","Yes","Yes","No","Yes","Other","Yes","No","Other","Not sure","Don't know","No","Other"
2014-08-27 20:53:00,23,"United States","No","No","No","No","Yes","Not sure","No","Don't know","Other","Not sure","Don't know","No","Male"
2014-08-27 22:13:00,23,"United States","No","No","No","No","Yes","Yes","Not sure","Don't know","Not sure","Not sure","Don't know","No","Male"
2014-08-28 01:38:00,23,"United States","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","Female"
2014-08-28 07:03:00,23,"United States","No","Yes","No","No","Yes","Not sure","Not sure","No","Not sure","Not sure","Don't know","No","Male"
2014-08-28 09:18:00,23,"India","No","Yes","Yes","No","Yes","Not sure","Not sure","No","Not sure","Not sure","Don't know","No","Female"
2014-08-28 09:54:00,23,"Canada","No","No","Yes","No","Yes","Yes","No","No","Other","Not sure","Somewhat easy","No","Male"
2014-08-28 09:59:00,23,"United States","No","No","Yes","No","No","Yes","Yes","Yes","Other","Yes","Somewhat easy","No","Male"
